type,reason,band,percent,year
Academic,For employment,4.5,0.02987800510898369,2023-2024
Academic,For employment,5,0.06394585432234345,2023-2024
Academic,For employment,5.5,0.1204669706591544,2023-2024
Academic,For employment,6,0.17791916346360448,2023-2024
Academic,For employment,6.5,0.20982643779692983,2023-2024
Academic,For employment,7,0.1838159810919856,2023-2024
Academic,For employment,7.5,0.12269916680593024,2023-2024
Academic,For employment,8,0.0583832692720892,2023-2024
Academic,For employment,8.5,0.01402583140353809,2023-2024
Academic,For employment,9,2.7454818917563924e-4,2023-2024
Academic,For higher education extended course (three months or more),<4,0.00446745578961686,2023-2024
Academic,For higher education extended course (three months or more),4,0.01133103599151607,2023-2024
Academic,For higher education extended course (three months or more),4.5,0.03387829260232144,2023-2024
Academic,For higher education extended course (three months or more),5,0.08956116220050385,2023-2024
Academic,For higher education extended course (three months or more),5.5,0.18478499787177813,2023-2024
Academic,For higher education extended course (three months or more),6,0.23820052246166223,2023-2024
Academic,For higher education extended course (three months or more),6.5,0.18380389534423663,2023-2024
Academic,For higher education extended course (three months or more),7,0.1219246159503377,2023-2024
Academic,For higher education extended course (three months or more),7.5,0.07974393068875259,2023-2024
Academic,For higher education extended course (three months or more),8,0.04273407466826374,2023-2024
Academic,For higher education extended course (three months or more),8.5,0.00941382614987336,2023-2024
Academic,For higher education extended course (three months or more),9,1.5619028113733418e-4,2023-2024
Academic,For higher education short course (three months or less),<4,0.00862132128465014,2023-2024
Academic,For higher education short course (three months or less),4,0.02127243863719623,2023-2024
Academic,For higher education short course (three months or less),4.5,0.05592868482110148,2023-2024
Academic,For higher education short course (three months or less),5,0.11735254609842471,2023-2024
Academic,For higher education short course (three months or less),5.5,0.20168518744657463,2023-2024
Academic,For higher education short course (three months or less),6,0.23035779704481615,2023-2024
Academic,For higher education short course (three months or less),6.5,0.16006838441812185,2023-2024
Academic,For higher education short course (three months or less),7,0.1009891317621199,2023-2024
Academic,For higher education short course (three months or less),7.5,0.06569788740994016,2023-2024
Academic,For higher education short course (three months or less),8,0.03155452436194895,2023-2024
Academic,For higher education short course (three months or less),8.5,0.00622786665038466,2023-2024
Academic,For higher education short course (three months or less),9,2.4423006472096715e-4,2023-2024
Academic,For immigration,<4,0.00682382871476633,2023-2024
Academic,For immigration,4,0.01427773220633165,2023-2024
Academic,For immigration,4.5,0.03183660853335236,2023-2024
Academic,For immigration,5,0.06715646064410286,2023-2024
Academic,For immigration,5.5,0.13524020114840044,2023-2024
Academic,For immigration,6,0.19393226101739244,2023-2024
Academic,For immigration,6.5,0.1851706551588858,2023-2024
Academic,For immigration,7,0.15398789780900413,2023-2024
Academic,For immigration,7.5,0.11629040503108765,2023-2024
Academic,For immigration,8,0.07175719533506901,2023-2024
Academic,For immigration,8.5,0.02255192172806923,2023-2024
Academic,For immigration,9,9.748326735380482e-4,2023-2024
Academic,For other education purposes,<4,0.00573816132309248,2023-2024
Academic,For other education purposes,4,0.01241568090722455,2023-2024
Academic,For other education purposes,4.5,0.03465849439147862,2023-2024
Academic,For other education purposes,5,0.0868417585126686,2023-2024
Academic,For other education purposes,5.5,0.1697496886516171,2023-2024
Academic,For other education purposes,6,0.21528943710762663,2023-2024
Academic,For other education purposes,6.5,0.18300696655289525,2023-2024
Academic,For other education purposes,7,0.13964134366485736,2023-2024
Academic,For other education purposes,7.5,0.0967475251522738,2023-2024
Academic,For other education purposes,8,0.04778825759668802,2023-2024
Academic,For other education purposes,8.5,0.00802705011752604,2023-2024
Academic,For other education purposes,9,9.563602205154144e-5,2023-2024
Academic,For personal reasons,<4,0.00650151057401812,2023-2024
Academic,For personal reasons,4,0.01508157099697885,2023-2024
Academic,For personal reasons,4.5,0.04145015105740181,2023-2024
Academic,For personal reasons,5,0.10392749244712993,2023-2024
Academic,For personal reasons,5.5,0.19079959718026185,2023-2024
Academic,For personal reasons,6,0.225877139979859,2023-2024
Academic,For personal reasons,6.5,0.17980261832829808,2023-2024
Academic,For personal reasons,7,0.12385901309164148,2023-2024
Academic,For personal reasons,7.5,0.07717220543806647,2023-2024
Academic,For personal reasons,8,0.03009869083585096,2023-2024
Academic,For personal reasons,8.5,0.00532527693856998,2023-2024
Academic,For personal reasons,9,1.0473313192346423e-4,2023-2024
Academic,For professional registration (NOT medical),<4,0.00166988925997539,2023-2024
Academic,For professional registration (NOT medical),4,0.00439444542098787,2023-2024
Academic,For professional registration (NOT medical),4.5,0.01116189136930919,2023-2024
Academic,For professional registration (NOT medical),5,0.03049745122165582,2023-2024
Academic,For professional registration (NOT medical),5.5,0.05914923536649675,2023-2024
Academic,For professional registration (NOT medical),6,0.1164528036561786,2023-2024
Academic,For professional registration (NOT medical),6.5,0.1882580418351204,2023-2024
Academic,For professional registration (NOT medical),7,0.2231499384777641,2023-2024
Academic,For professional registration (NOT medical),7.5,0.1996835999296889,2023-2024
Academic,For professional registration (NOT medical),8,0.13200914044647566,2023-2024
Academic,For professional registration (NOT medical),8.5,0.03260678502373001,2023-2024
Academic,For professional registration (NOT medical),9,9.667779926173316e-4,2023-2024
Academic,For registration as a dentist,<4,0.003777971519907,2023-2024
Academic,For registration as a dentist,4,0.003487358326068,2023-2024
Academic,For registration as a dentist,4.5,0.02034292356873002,2023-2024
Academic,For registration as a dentist,5,0.04940424295263004,2023-2024
Academic,For registration as a dentist,5.5,0.07585004359197907,2023-2024
Academic,For registration as a dentist,6,0.1299040976460331,2023-2024
Academic,For registration as a dentist,6.5,0.1952920662598082,2023-2024
Academic,For registration as a dentist,7,0.24149956408020923,2023-2024
Academic,For registration as a dentist,7.5,0.16913687881429815,2023-2024
Academic,For registration as a dentist,8,0.09590235396687012,2023-2024
Academic,For registration as a dentist,8.5,0.01511188607962801,2023-2024
Academic,For registration as a dentist,9,2.906131938390003e-4,2023-2024
Academic,For registration as a doctor,<4,0.00130217753020328,2023-2024
Academic,For registration as a doctor,4,0.00408739058091586,2023-2024
Academic,For registration as a doctor,4.5,0.01190045576213557,2023-2024
Academic,For registration as a doctor,5,0.02752658612457498,2023-2024
Academic,For registration as a doctor,5.5,0.05161687043333574,2023-2024
Academic,For registration as a doctor,6,0.08055414888229763,2023-2024
Academic,For registration as a doctor,6.5,0.11871518483686608,2023-2024
Academic,For registration as a doctor,7,0.1742385878608117,2023-2024
Academic,For registration as a doctor,7.5,0.23037690805179772,2023-2024
Academic,For registration as a doctor,8,0.21883816827027416,2023-2024
Academic,For registration as a doctor,8.5,0.07831150980250308,2023-2024
Academic,For registration as a doctor,9,0.00253201186428416,2023-2024
Academic,For registration as a nurse (including CGFNS),<4,9.61254066844129e-4,2023-2024
