type,language,band,percent,year
Academic,Indonesian,4.5,0.01061802341410291,2024-2025
Academic,Indonesian,5,0.03530963999246057,2024-2025
Academic,Indonesian,5.5,0.09200192674192131,2024-2025
Academic,Indonesian,6,0.17124965967873673,2024-2025
Academic,Indonesian,6.5,0.2088839556849358,2024-2025
Academic,Indonesian,7,0.2011769879997487,2024-2025
Academic,Indonesian,7.5,0.16896688935893947,2024-2025
Academic,Indonesian,8,0.09080818446459613,2024-2025
Academic,Indonesian,8.5,0.01549770675825672,2024-2025
Academic,Indonesian,9,2.513141636474062e-4,2024-2025
Academic,Italian,<4,5.576830129754248e-4,2024-2025
Academic,Italian,4,0.00163587017139457,2024-2025
Academic,Italian,4.5,0.00594861880507119,2024-2025
Academic,Italian,5,0.02126631222812953,2024-2025
Academic,Italian,5.5,0.05387217905342603,2024-2025
Academic,Italian,6,0.1074469271665985,2024-2025
Academic,Italian,6.5,0.15737814626166488,2024-2025
Academic,Italian,7,0.2085734468528089,2024-2025
Academic,Italian,7.5,0.24512027363646505,2024-2025
Academic,Italian,8,0.1676395137004127,2024-2025
Academic,Italian,8.5,0.0303751347733948,2024-2025
Academic,Italian,9,1.8589433765847492e-4,2024-2025
Academic,Japanese,<4,0.00794077029307963,2024-2025
Academic,Japanese,4,0.02424428417983735,2024-2025
Academic,Japanese,4.5,0.06442765075955194,2024-2025
Academic,Japanese,5,0.15135415068282954,2024-2025
Academic,Japanese,5.5,0.2425195642166641,2024-2025
Academic,Japanese,6,0.2200207150529385,2024-2025
Academic,Japanese,6.5,0.14742212674543503,2024-2025
Academic,Japanese,7,0.08571812183520025,2024-2025
Academic,Japanese,7.5,0.03956958723338959,2024-2025
Academic,Japanese,8,0.01398266073346631,2024-2025
Academic,Japanese,8.5,0.00274282645388982,2024-2025
Academic,Japanese,9,5.754181371796839e-5,2024-2025
Academic,Kannada,<4,0,2024-2025
Academic,Kannada,4,2.8776978417266187e-4,2024-2025
Academic,Kannada,4.5,0.00330935251798561,2024-2025
Academic,Kannada,5,0.02258992805755395,2024-2025
Academic,Kannada,5.5,0.09568345323741008,2024-2025
Academic,Kannada,6,0.19971223021582735,2024-2025
Academic,Kannada,6.5,0.21784172661870504,2024-2025
Academic,Kannada,7,0.19122302158273383,2024-2025
Academic,Kannada,7.5,0.15697841726618705,2024-2025
Academic,Kannada,8,0.09093525179856116,2024-2025
Academic,Kannada,8.5,0.02115107913669064,2024-2025
Academic,Kannada,9,2.8776978417266187e-4,2024-2025
Academic,Kazakh,<4,0.00516645442968892,2024-2025
Academic,Kazakh,4,0.01193378206294342,2024-2025
Academic,Kazakh,4.5,0.03947607786065126,2024-2025
Academic,Kazakh,5,0.09226851009641622,2024-2025
Academic,Kazakh,5.5,0.1690376569037657,2024-2025
Academic,Kazakh,6,0.2082226669092232,2024-2025
Academic,Kazakh,6.5,0.18555575768601057,2024-2025
Academic,Kazakh,7,0.14538839366927414,2024-2025
Academic,Kazakh,7.5,0.09830816809168635,2024-2025
Academic,Kazakh,8,0.04009459705293796,2024-2025
Academic,Kazakh,8.5,0.00443878479170456,2024-2025
Academic,Kazakh,9,1.0915044569765326e-4,2024-2025
Academic,Khmer,<4,0.00374039627982207,2024-2025
Academic,Khmer,4,0.01142337242215932,2024-2025
Academic,Khmer,4.5,0.04902951880307319,2024-2025
Academic,Khmer,5,0.13768701981399112,2024-2025
Academic,Khmer,5.5,0.20551961180752124,2024-2025
Academic,Khmer,6,0.213303679741205,2024-2025
Academic,Khmer,6.5,0.16265669227658716,2024-2025
Academic,Khmer,7,0.10735948241002832,2024-2025
Academic,Khmer,7.5,0.0736959158916296,2024-2025
Academic,Khmer,8,0.03123736352608168,2024-2025
Academic,Khmer,8.5,0.00434694702790133,2024-2025
Academic,Khmer,9,0,2024-2025
Academic,Korean,<4,0.00222560618484245,2024-2025
Academic,Korean,4,0.00573972121354105,2024-2025
Academic,Korean,4.5,0.02143610167506149,2024-2025
Academic,Korean,5,0.07063371207684198,2024-2025
Academic,Korean,5.5,0.1677794697590879,2024-2025
Academic,Korean,6,0.23482097536214908,2024-2025
Academic,Korean,6.5,0.21049549021904648,2024-2025
Academic,Korean,7,0.1534106438639647,2024-2025
Academic,Korean,7.5,0.08761860138221858,2024-2025
Academic,Korean,8,0.03697629924641755,2024-2025
Academic,Korean,8.5,0.00862910468158213,2024-2025
Academic,Korean,9,2.3427433524657375e-4,2024-2025
Academic,Malayalam,<4,3.181673560292714e-4,2024-2025
Academic,Malayalam,4,0.00109912359355566,2024-2025
Academic,Malayalam,4.5,0.00679721169698898,2024-2025
Academic,Malayalam,5,0.02970526133109652,2024-2025
Academic,Malayalam,5.5,0.10129291643768258,2024-2025
Academic,Malayalam,6,0.19769762531455184,2024-2025
Academic,Malayalam,6.5,0.22370057559367135,2024-2025
Academic,Malayalam,7,0.18893356087120008,2024-2025
Academic,Malayalam,7.5,0.1475718045873948,2024-2025
Academic,Malayalam,8,0.08338877158476268,2024-2025
Academic,Malayalam,8.5,0.01929251149741127,2024-2025
Academic,Malayalam,9,2.024701356549909e-4,2024-2025
Academic,Marathi,<4,3.496259002866932e-4,2024-2025
Academic,Marathi,4,0.00104887770086007,2024-2025
Academic,Marathi,4.5,0.00391581008321096,2024-2025
Academic,Marathi,5,0.02104747919725893,2024-2025
Academic,Marathi,5.5,0.08488916858960911,2024-2025
Academic,Marathi,6,0.17781973288581215,2024-2025
Academic,Marathi,6.5,0.22390042654359835,2024-2025
Academic,Marathi,7,0.1989371372631284,2024-2025
Academic,Marathi,7.5,0.16670162925669532,2024-2025
Academic,Marathi,8,0.10383889238514787,2024-2025
Academic,Marathi,8.5,0.01734144465421998,2024-2025
Academic,Marathi,9,2.097755401720159e-4,2024-2025
Academic,Mongolian,<4,0.0044801838024124,2024-2025
Academic,Mongolian,4,0.0109132682366456,2024-2025
Academic,Mongolian,4.5,0.03262492820218265,2024-2025
Academic,Mongolian,5,0.07800114876507754,2024-2025
Academic,Mongolian,5.5,0.14865020103388857,2024-2025
Academic,Mongolian,6,0.18184951177484204,2024-2025
Academic,Mongolian,6.5,0.19058012636415853,2024-2025
Academic,Mongolian,7,0.16932797242963815,2024-2025
Academic,Mongolian,7.5,0.1228029867892016,2024-2025
Academic,Mongolian,8,0.05307294658242389,2024-2025
Academic,Mongolian,8.5,0.00758184951177484,2024-2025
Academic,Mongolian,9,1.1487650775416428e-4,2024-2025
Academic,Nepali,<4,0.00137134375554587,2024-2025
Academic,Nepali,4,0.00451736766532759,2024-2025
Academic,Nepali,4.5,0.01819853830889115,2024-2025
Academic,Nepali,5,0.07405256279947728,2024-2025
Academic,Nepali,5.5,0.18879370149879804,2024-2025
Academic,Nepali,6,0.2571188874368779,2024-2025
Academic,Nepali,6.5,0.21288095122856265,2024-2025
Academic,Nepali,7,0.13782811416033428,2024-2025
Academic,Nepali,7.5,0.07352015875320653,2024-2025
Academic,Nepali,8,0.02873368504267299,2024-2025
Academic,Nepali,8.5,0.00292015552651533,2024-2025
Academic,Nepali,9,6.453382379039414e-5,2024-2025
Academic,Other,<4,0.00657583338968152,2024-2025
Academic,Other,4,0.01382784501994725,2024-2025
Academic,Other,4.5,0.03500912840624789,2024-2025
Academic,Other,5,0.07121847318953275,2024-2025
Academic,Other,5.5,0.13488065454053688,2024-2025
Academic,Other,6,0.1910879707891,2024-2025
Academic,Other,6.5,0.18403881263100952,2024-2025
Academic,Other,7,0.15949354249780243,2024-2025
Academic,Other,7.5,0.12069781594428292,2024-2025
Academic,Other,8,0.06599499628101968,2024-2025
Academic,Other,8.5,0.01673541145445939,2024-2025
Academic,Other,9,4.395158563797418e-4,2024-2025
Academic,Portuguese,<4,0.00317994762439206,2024-2025
Academic,Portuguese,4,0.00533108866442199,2024-2025
Academic,Portuguese,4.5,0.01365506921062476,2024-2025
Academic,Portuguese,5,0.03385708941264497,2024-2025
Academic,Portuguese,5.5,0.06705948372615039,2024-2025
Academic,Portuguese,6,0.117003367003367,2024-2025
Academic,Portuguese,6.5,0.15778151889263003,2024-2025
Academic,Portuguese,7,0.17648709315375985,2024-2025
Academic,Portuguese,7.5,0.21202768424990648,2024-2025
Academic,Portuguese,8,0.16853722409277969,2024-2025
Academic,Portuguese,8.5,0.04414515525626637,2024-2025
Academic,Portuguese,9,9.352787130564908e-4,2024-2025
Academic,Punjabi,<4,0.00221979556398918,2024-2025
Academic,Punjabi,4,0.00513775263600723,2024-2025
Academic,Punjabi,4.5,0.01475089955425073,2024-2025
Academic,Punjabi,5,0.06104437800970265,2024-2025
Academic,Punjabi,5.5,0.20132113639211613,2024-2025
Academic,Punjabi,6,0.2946778611195646,2024-2025
Academic,Punjabi,6.5,0.21788009523639032,2024-2025
Academic,Punjabi,7,0.11979735414690032,2024-2025
Academic,Punjabi,7.5,0.06127709851237894,2024-2025
Academic,Punjabi,8,0.01969173484183956,2024-2025
Academic,Punjabi,8.5,0.00218399240973129,2024-2025
Academic,Punjabi,9,1.790157712894506e-5,2024-2025
Academic,Russian,<4,0.00248346847790311,2024-2025
Academic,Russian,4,0.00607402531342569,2024-2025
Academic,Russian,4.5,0.01977798390233685,2024-2025
Academic,Russian,5,0.05505520481134615,2024-2025
Academic,Russian,5.5,0.1169923102241106,2024-2025
Academic,Russian,6,0.1680979025163819,2024-2025
Academic,Russian,6.5,0.18246012985847224,2024-2025
Academic,Russian,7,0.17399239998803143,2024-2025
Academic,Russian,7.5,0.15591993058256784,2024-2025
Academic,Russian,8,0.09799228030280364,2024-2025
Academic,Russian,8.5,0.02061578049729212,2024-2025
Academic,Russian,9,5.385835253283863e-4,2024-2025
Academic,Sinhalese,<4,8.626097867001256e-4,2024-2025
Academic,Sinhalese,4,0.00399937264742785,2024-2025
Academic,Sinhalese,4.5,0.01646800501882057,2024-2025
Academic,Sinhalese,5,0.05301129234629862,2024-2025
Academic,Sinhalese,5.5,0.1378607277289837,2024-2025
Academic,Sinhalese,6,0.2132214554579674,2024-2025
Academic,Sinhalese,6.5,0.2072616060225847,2024-2025
Academic,Sinhalese,7,0.1586417816813049,2024-2025
Academic,Sinhalese,7.5,0.12147114178168132,2024-2025
Academic,Sinhalese,8,0.07136135508155583,2024-2025
Academic,Sinhalese,8.5,0.01568381430363864,2024-2025
Academic,Sinhalese,9,1.5683814303638646e-4,2024-2025
Academic,Spanish,<4,0.00585762199442581,2024-2025
Academic,Spanish,4,0.0074165052671359,2024-2025
Academic,Spanish,4.5,0.01563607161415277,2024-2025
Academic,Spanish,5,0.04164107893618026,2024-2025
Academic,Spanish,5.5,0.09405262412017572,2024-2025
Academic,Spanish,6,0.14967641362369505,2024-2025
Academic,Spanish,6.5,0.1814681846095706,2024-2025
Academic,Spanish,7,0.1819169540365629,2024-2025
Academic,Spanish,7.5,0.17653172091265532,2024-2025
Academic,Spanish,8,0.11873494260475224,2024-2025
Academic,Spanish,8.5,0.02671359062780481,2024-2025
Academic,Spanish,9,3.5429165288865797e-4,2024-2025
Academic,Swahili,<4,2.54474510136568e-4,2024-2025
Academic,Swahili,4,0.00110272287725846,2024-2025
Academic,Swahili,4.5,0.00449571634574603,2024-2025
Academic,Swahili,5,0.02476885231995928,2024-2025
Academic,Swahili,5.5,0.08703028246670624,2024-2025
Academic,Swahili,6,0.1927220290100942,2024-2025
Academic,Swahili,6.5,0.2593095258291628,2024-2025
Academic,Swahili,7,0.23055390618373064,2024-2025
Academic,Swahili,7.5,0.1360590380863517,2024-2025
Academic,Swahili,8,0.05623886674018153,2024-2025
Academic,Swahili,8.5,0.00729493595724828,2024-2025
Academic,Swahili,9,1.6964967342437867e-4,2024-2025
Academic,Tagalog,<4,0.00141317788376611,2024-2025
Academic,Tagalog,4,0.00353294470941529,2024-2025
Academic,Tagalog,4.5,0.00777247836071365,2024-2025
Academic,Tagalog,5,0.02384737678855326,2024-2025
Academic,Tagalog,5.5,0.07790143084260731,2024-2025
Academic,Tagalog,6,0.169051404345522,2024-2025
Academic,Tagalog,6.5,0.22575516693163752,2024-2025
Academic,Tagalog,7,0.24165341812400637,2024-2025
Academic,Tagalog,7.5,0.15332980038862393,2024-2025
Academic,Tagalog,8,0.08143437555202261,2024-2025
Academic,Tagalog,8.5,0.01413177883766119,2024-2025
Academic,Tagalog,9,1.766472354707649e-4,2024-2025
Academic,Tamil,<4,0.0010013518249637,2024-2025
Academic,Tamil,4,0.00290392029239473,2024-2025
Academic,Tamil,4.5,0.01146547839583437,2024-2025
Academic,Tamil,5,0.04325839883843188,2024-2025
Academic,Tamil,5.5,0.11215140439593452,2024-2025
Academic,Tamil,6,0.19371151053922792,2024-2025
Academic,Tamil,6.5,0.20437590747509135,2024-2025
Academic,Tamil,7,0.17168177039002652,2024-2025
Academic,Tamil,7.5,0.14038952585991088,2024-2025
Academic,Tamil,8,0.09482801782406249,2024-2025
Academic,Tamil,8.5,0.0237821058428879,2024-2025
Academic,Tamil,9,4.506083212336654e-4,2024-2025
Academic,Telugu,<4,4.052028040034037e-4,2024-2025
Academic,Telugu,4,0.00178289233761497,2024-2025
Academic,Telugu,4.5,0.009643826735281,2024-2025
Academic,Telugu,5,0.04708456582519551,2024-2025
Academic,Telugu,5.5,0.1545848697272985,2024-2025
Academic,Telugu,6,0.23902913408160784,2024-2025
Academic,Telugu,6.5,0.22391506949228088,2024-2025
Academic,Telugu,7,0.16054135094614852,2024-2025
Academic,Telugu,7.5,0.10186798492645568,2024-2025
Academic,Telugu,8,0.05206856031443738,2024-2025
Academic,Telugu,8.5,0.00899550224887556,2024-2025
Academic,Telugu,9,8.104056080068074e-5,2024-2025
Academic,Thai,<4,0.00761318790590721,2024-2025
Academic,Thai,4,0.01339299586712656,2024-2025
Academic,Thai,4.5,0.03651222771200398,2024-2025
Academic,Thai,5,0.09371989683353532,2024-2025
Academic,Thai,5.5,0.17581802927193063,2024-2025
Academic,Thai,6,0.20857027438550696,2024-2025
Academic,Thai,6.5,0.17612877163543705,2024-2025
Academic,Thai,7,0.13178583636307137,2024-2025
Academic,Thai,7.5,0.09763525061371615,2024-2025
Academic,Thai,8,0.04804076939809204,2024-2025
Academic,Thai,8.5,0.01065846306827009,2024-2025
Academic,Thai,9,1.2429694540256673e-4,2024-2025
Academic,Turkish,<4,0.00403668848230067,2024-2025
Academic,Turkish,4,0.00984092103377442,2024-2025
Academic,Turkish,4.5,0.02894950556537524,2024-2025
Academic,Turkish,5,0.06690393159126737,2024-2025
Academic,Turkish,5.5,0.13433334925715376,2024-2025
Academic,Turkish,6,0.1818898390101753,2024-2025
Academic,Turkish,6.5,0.1835857258873549,2024-2025
Academic,Turkish,7,0.16087039602541442,2024-2025
Academic,Turkish,7.5,0.1380834089714804,2024-2025
Academic,Turkish,8,0.07748531027564133,2024-2025
Academic,Turkish,8.5,0.0139970381693976,2024-2025
Academic,Turkish,9,2.3885730664501023e-5,2024-2025
Academic,Ukrainian,<4,0.00149219467401285,2024-2025
Academic,Ukrainian,4,0.00390266299357208,2024-2025
Academic,Ukrainian,4.5,0.01618457300275482,2024-2025
Academic,Ukrainian,5,0.05142332415059687,2024-2025
Academic,Ukrainian,5.5,0.11179981634527088,2024-2025
Academic,Ukrainian,6,0.1819329660238751,2024-2025
Academic,Ukrainian,6.5,0.18468778696051424,2024-2025
Academic,Ukrainian,7,0.18709825528007343,2024-2025
Academic,Ukrainian,7.5,0.15404040404040403,2024-2025
Academic,Ukrainian,8,0.091712580348944,2024-2025
Academic,Ukrainian,8.5,0.01572543617998163,2024-2025
Academic,Ukrainian,9,0,2024-2025
Academic,Urdu,<4,0.00357246454252606,2024-2025
Academic,Urdu,4,0.0088395597013786,2024-2025
Academic,Urdu,4.5,0.02193859635730752,2024-2025
Academic,Urdu,5,0.05718996656539595,2024-2025
Academic,Urdu,5.5,0.1401657989954352,2024-2025
Academic,Urdu,6,0.21630204119021085,2024-2025
Academic,Urdu,6.5,0.197706905238088,2024-2025
Academic,Urdu,7,0.15576861421963023,2024-2025
Academic,Urdu,7.5,0.1124410314346346,2024-2025
Academic,Urdu,8,0.06925085113204378,2024-2025
Academic,Urdu,8.5,0.01665623425596556,2024-2025
Academic,Urdu,9,1.679363673837041e-4,2024-2025
Academic,Uzbek,<4,0.00695025506761316,2024-2025
Academic,Uzbek,4,0.01603282139868822,2024-2025
Academic,Uzbek,4.5,0.04638451780075036,2024-2025
Academic,Uzbek,5,0.11403816567248778,2024-2025
Academic,Uzbek,5.5,0.20167885772895355,2024-2025
Academic,Uzbek,6,0.2162541499095792,2024-2025
Academic,Uzbek,6.5,0.17899268536262788,2024-2025
Academic,Uzbek,7,0.12494264352614108,2024-2025
Academic,Uzbek,7.5,0.06596669275823909,2024-2025
Academic,Uzbek,8,0.02356338902534481,2024-2025
Academic,Uzbek,8.5,0.00499338713595508,2024-2025
Academic,Uzbek,9,2.024346136198008e-4,2024-2025
Academic,Vietnamese,<4,0.00568710430015696,2024-2025
Academic,Vietnamese,4,0.01287709270647957,2024-2025
Academic,Vietnamese,4.5,0.03479057429257098,2024-2025
Academic,Vietnamese,5,0.09069309198127834,2024-2025
Academic,Vietnamese,5.5,0.17463990419710204,2024-2025
Academic,Vietnamese,6,0.2149410535456137,2024-2025
Academic,Vietnamese,6.5,0.18505035854520815,2024-2025
Academic,Vietnamese,7,0.13960600581115187,2024-2025
Academic,Vietnamese,7.5,0.09358912579855629,2024-2025
Academic,Vietnamese,8,0.04079256859592456,2024-2025
Academic,Vietnamese,8.5,0.00714704886043216,2024-2025
Academic,Vietnamese,9,1.860713655252699e-4,2024-2025
General_Training,Afrikaans,<4,0.00630252100840336,2024-2025
General_Training,Afrikaans,4,0.00756302521008403,2024-2025
General_Training,Afrikaans,4.5,0.01512605042016806,2024-2025
General_Training,Afrikaans,5,0.03445378151260504,2024-2025
General_Training,Afrikaans,5.5,0.08655462184873951,2024-2025
General_Training,Afrikaans,6,0.14747899159663866,2024-2025
General_Training,Afrikaans,6.5,0.17899159663865546,2024-2025
General_Training,Afrikaans,7,0.1689075630252101,2024-2025
General_Training,Afrikaans,7.5,0.1512605042016807,2024-2025
General_Training,Afrikaans,8,0.13067226890756303,2024-2025
General_Training,Afrikaans,8.5,0.06722689075630253,2024-2025
General_Training,Afrikaans,9,0.00546218487394958,2024-2025
General_Training,Akan,<4,0.00741239892183288,2024-2025
General_Training,Akan,4,0.02358490566037735,2024-2025
General_Training,Akan,4.5,0.05154986522911051,2024-2025
General_Training,Akan,5,0.11287061994609164,2024-2025
General_Training,Akan,5.5,0.1923854447439353,2024-2025
General_Training,Akan,6,0.20855795148247977,2024-2025
General_Training,Akan,6.5,0.18059299191374664,2024-2025
General_Training,Akan,7,0.12297843665768192,2024-2025
General_Training,Akan,7.5,0.06334231805929919,2024-2025
General_Training,Akan,8,0.03066037735849056,2024-2025
General_Training,Akan,8.5,0.00606469002695417,2024-2025
General_Training,Akan,9,0,2024-2025
General_Training,Arabic,<4,0.064810126582278485,2024-2025
General_Training,Arabic,4,0.05726582278481013,2024-2025
General_Training,Arabic,4.5,0.08283544303797469,2024-2025
General_Training,Arabic,5,0.11458227848101268,2024-2025
General_Training,Arabic,5.5,0.14329113924050632,2024-2025
General_Training,Arabic,6,0.1448607594936709,2024-2025
General_Training,Arabic,6.5,0.12860759493670887,2024-2025
General_Training,Arabic,7,0.1029873417721519,2024-2025
General_Training,Arabic,7.5,0.08293670886075949,2024-2025
General_Training,Arabic,8,0.05660759493670886,2024-2025
