galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
NGC 4273,0.07,0.23,0.04,0.011,0.38,0.13,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4274,NA,0.31,0.13,0.036,0.61,0.16,0.14,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4278,0.19,0.39,0.51,0.41,1.22,0.79,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4281,NA,0.36,0.54,0.19,2.11,0.25,0.31,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4293,NA,0.13,0.22,0.18,1.41,0.5,0.4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4298,0.06,0.2,0.05,0.016,0.33,0.13,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4303,0.07,0.25,0.34,0.045,0.78,0.22,0.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4314,0.18,0.28,0.2,0.18,1.01,0.34,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4321,0.04,0.22,0.18,0.11,1.18,0.26,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4324,NA,0.86,1.46,0.16,0.63,0.42,0.3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4346,NA,1.54,1.96,0.79,3.72,0.84,0.78,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
NGC 4350,NA,0.32,0.53,0.18,1.36,0.22,0.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4369,0.1,0.33,0.14,0.014,0.37,0.17,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4374,NA,0.21,0.36,0.33,1.81,0.85,0.6,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4378,NA,0.28,1.14,0.3,2.78,0.88,0.68,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4380,NA,0.25,0.29,0.048,0.67,0.18,0.13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4388,0.07,0.17,1.91,0.16,0.57,0.31,0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 4394,NA,0.23,0.64,0.44,1.08,0.54,0.44,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4395,0.18,0.47,2.93,0.36,0.44,0.45,0.51,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 4405,0.11,0.24,0.04,0.026,0.33,0.17,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4414,NA,0.33,0.19,0.14,0.59,0.22,0.28,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
