galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
IC 10,0.03,0.08,0.35,0.006,0.04,0.03,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 239,NA,1.47,1.47,0.59,0.59,1,1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IC 342,0.03,0.13,0.01,0.007,0.45,0.1,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 356,NA,0.1,0.24,0.11,1.68,0.51,0.43,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 467,NA,0.17,0.07,0.058,0.44,0.28,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 520,NA,0.53,1.3,0.097,1.66,0.36,0.39,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 1727,NA,0.19,0.45,0.16,0.93,0.62,0.47,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 2574,0.08,0.18,0.04,0.025,0.07,0.14,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 63,0.05,0.17,0.07,0.016,0.49,0.17,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 185,0.24,0.23,0.75,0.22,0.61,0.88,0.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 266,0.41,0.57,1.35,0.28,2.36,0.77,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 278,0.07,0.22,0.05,0.022,0.5,0.16,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 315,0.08,0.37,0.76,0.59,2.91,0.88,0.82,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 404,0.14,0.27,0.34,0.17,0.44,0.55,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 410,NA,1.01,0.77,0.097,1.78,0.46,0.34,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 428,NA,0.81,0.61,0.19,0.56,0.75,0.58,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 474,NA,0.26,0.62,0.21,0.47,0.51,0.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 488,NA,0.22,0.2,0.13,1.5,0.27,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 514,0.11,0.2,0.08,0.052,0.37,0.13,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 520,0.09,0.24,0.18,0.014,0.39,0.16,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 521,NA,0.32,0.42,0.086,1.19,0.18,0.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 524,NA,0.31,0.15,0.14,1.54,0.34,0.37,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 598,NA,0.22,0.36,0.1,0.17,0.14,0.08,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 660,0.02,0.07,0.18,0.047,0.85,0.24,0.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 672,0.12,0.27,0.71,0.008,0.08,0.06,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 676,NA,0.26,2.66,0.067,0.94,0.16,0.13,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 697,NA,0.09,0.07,0.022,0.49,0.15,0.11,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 718,NA,0.48,0.62,0.21,2.16,0.81,0.7,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 772,0.07,0.27,0.21,0.026,0.75,0.21,0.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 777,NA,0.65,2.41,0.39,1.79,0.5,0.5,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 783,0.06,0.2,0.04,0.019,0.36,0.11,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 784,0.17,0.37,1.8,0.006,0.03,0.06,0.04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 812,0.07,0.15,0.04,0.039,0.43,0.15,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 818,NA,0.14,0.14,0.027,0.45,0.08,0.07,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 841,NA,0.21,0.43,0.58,1.43,0.74,0.58,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 864,0.1,0.27,0.07,0.012,0.41,0.16,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 877,0.11,0.16,0.22,0.052,0.62,0.19,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 891,NA,0.08,0.08,0.043,0.29,0.18,0.12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 925,0.1,0.29,0.24,0.014,0.22,0.2,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 959,0.09,0.26,0.3,0.032,0.34,0.21,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 972,0.04,0.13,0.1,0.026,0.42,0.15,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1003,NA,NA,NA,0.69,0.69,0.69,0.69,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
NGC 1052,0.18,0.42,0.85,0.71,1.2,0.94,0.78,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 1055,NA,NA,NA,0.064,0.66,0.25,0.16,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
NGC 1058,NA,0.14,0.55,0.18,1.23,0.35,0.38,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1068,0.08,0.19,2.42,0.087,0.76,0.13,0.12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 1073,0.19,0.22,0.32,0.028,0.46,0.31,0.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1156,0.13,0.34,1.54,0.013,0.1,0.09,0.07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 1161,NA,0.19,0.27,0.14,1.75,0.27,0.25,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1167,0.09,0.16,0.89,0.31,2.01,0.86,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1169,NA,0.48,0.81,0.32,2.82,1.09,0.66,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1186,0.04,0.13,0.07,0.019,0.53,0.16,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1275,NA,0.2,2.96,1.37,1.36,0.72,0.66,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NGC 1358,0.11,0.26,2.99,0.26,2.01,0.51,0.44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 1560,0.09,0.24,0.66,0.006,0.07,0.09,0.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1569,0.03,0.16,0.85,0.002,0.04,0.02,0.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 1667,0.08,0.24,1.78,0.24,2.38,0.49,0.47,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 1961,0.06,0.17,0.2,0.21,1.96,0.59,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2146,0.03,0.09,0.04,0.023,0.45,0.14,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2268,0.08,0.22,0.32,0.035,0.59,0.18,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2273,0.06,0.18,1.05,0.12,0.86,0.23,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2276,0.04,0.14,0.02,0.014,0.35,0.1,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2336,NA,0.22,0.65,0.25,1.79,0.63,0.45,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2339,0.02,0.08,0.03,0.029,0.7,0.14,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2342,0.05,0.14,0.06,0.033,0.63,0.15,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2403,NA,0.13,0.27,0.063,0.28,0.23,0.16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2500,NA,0.14,0.33,0.068,0.33,0.25,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2537,0.15,0.34,0.63,0.008,0.15,0.1,0.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2541,NA,0.95,1.52,0.082,0.25,0.41,0.26,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 2543,0.07,0.2,0.07,0.025,0.45,0.16,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2639,NA,0.24,0.83,0.47,4.25,1.09,1.11,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
NGC 2655,NA,0.2,0.78,1.038,2.91,0.97,0.95,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 2681,NA,0.2,0.35,0.19,2.36,0.31,0.44,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2683,0.07,0.24,0.71,0.33,1.49,0.8,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2685,NA,0.18,0.56,0.13,0.93,0.19,0.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2715,0.05,0.21,0.2,0.066,0.45,0.18,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2742,0.16,0.29,0.28,0.04,0.35,0.13,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2748,0.05,0.16,0.04,0.02,0.35,0.14,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2750,0.09,0.25,0.04,0.011,0.43,0.13,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2768,0.12,0.25,0.4,0.29,1.46,0.96,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2770,0.06,0.15,0.05,0.02,0.38,0.22,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2776,0.08,0.28,0.18,0.015,0.47,0.12,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2782,0.05,0.15,0.16,0.051,0.43,0.23,0.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2787,0.37,0.51,0.72,0.55,1.61,0.73,0.68,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 2832,NA,1.37,1.37,0.62,2.91,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA
NGC 2841,0.17,0.3,0.56,0.17,1.83,0.62,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2859,NA,0.35,0.94,0.092,1.85,0.65,0.41,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2903,0.07,0.22,0.02,0.008,0.34,0.1,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2911,0.11,0.23,0.36,0.31,1.82,0.88,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2964,0.06,0.18,0.05,0.017,0.49,0.13,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2967,NA,0.35,0.51,0.091,0.31,0.2,0.12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2976,0.1,0.25,0.36,0.012,0.31,0.1,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2977,0.06,0.21,0.07,0.024,0.35,0.15,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 2985,0.22,0.47,0.46,0.12,0.86,0.31,0.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3003,0.07,0.21,0.11,0.009,0.27,0.14,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3027,0.14,0.49,0.57,0.037,0.19,0.31,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3031,0.03,0.29,1.2,1.25,2.22,0.62,0.75,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 3034,0.01,0.04,0.02,0.009,0.56,0.08,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3041,0.13,0.36,0.19,0.07,0.44,0.12,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3043,0.1,0.27,0.1,0.038,0.36,0.25,0.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3073,NA,0.33,0.25,0.023,0.3,0.2,0.16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3077,0.09,0.27,0.2,0.003,0.21,0.08,0.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3079,NA,0.04,0.15,0.18,1.59,0.52,0.34,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3147,NA,0.19,1.16,0.15,2.71,0.64,0.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3162,0.09,0.29,0.05,0.013,0.34,0.14,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3166,NA,0.15,0.41,0.27,2.57,0.74,0.58,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3169,NA,0.2,0.57,0.28,2.07,0.76,0.68,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3184,0.08,0.23,0.03,0.009,0.33,0.11,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3185,0.05,0.2,0.68,0.045,0.7,0.2,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3190,NA,0.38,0.78,0.34,3.47,0.98,0.83,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NGC 3193,NA,0.67,1.67,0.3,1.27,0.31,0.33,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 3198,0.06,0.16,0.04,0.025,0.42,0.18,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3226,0.23,0.45,1.01,0.59,1.45,0.74,0.61,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 3227,NA,0.34,2.02,0.23,1.33,0.33,0.35,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 3245,0.03,0.21,0.13,0.086,0.85,0.24,0.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3254,0.11,0.16,1.5,0.07,1.14,0.48,0.42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 3294,NA,0.24,0.28,0.028,0.6,0.14,0.13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3301,0.17,0.36,0.12,0.26,1.16,1.11,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3310,0.07,0.21,0.2,0.036,0.66,0.12,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3319,NA,0.32,0.32,0.13,0.16,0.28,0.32,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3338,0.35,0.33,0.3,0.093,0.49,0.19,0.11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3344,0.09,0.27,0.23,0.047,0.42,0.21,0.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3346,0.08,0.17,0.04,0.018,0.32,0.16,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3351,0.06,0.23,0.06,0.019,0.46,0.14,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3359,0.24,0.27,0.15,0.04,0.31,0.31,0.24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3367,0.07,0.23,0.11,0.031,0.83,0.13,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3368,NA,0.13,0.24,0.18,1.11,0.53,0.45,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3370,0.09,0.24,0.06,0.02,0.33,0.13,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3379,NA,0.33,0.61,0.32,1.66,1.26,0.84,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NGC 3389,0.09,0.27,0.03,0.014,0.34,0.19,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3395,0.08,0.3,0.23,0.035,0.31,0.23,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3414,NA,0.31,0.67,0.24,1.47,0.61,0.63,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3423,NA,0.29,0.21,0.042,0.47,0.25,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3430,0.07,0.22,0.05,0.02,0.35,0.14,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3432,0.1,0.3,0.51,0.012,0.14,0.13,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3433,NA,0.59,0.16,0.87,0.67,0.87,0.87,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 3448,0.09,0.29,0.63,0.01,0.12,0.1,0.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3486,0.1,0.3,1.37,0.092,1.05,0.54,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3489,NA,0.46,1.35,0.11,1.33,0.49,0.41,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3495,0.04,0.16,0.06,0.05,0.42,0.26,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3504,0.07,0.23,0.12,0.023,0.59,0.14,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3507,0.07,0.26,0.26,0.18,1.1,0.52,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3516,NA,0.42,3.91,0.15,1.31,0.36,0.33,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 3521,NA,0.27,0.27,0.23,0.64,0.44,0.44,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3556,0.06,0.14,0.04,0.012,0.32,0.17,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3583,NA,0.12,0.08,0.047,0.71,0.18,0.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3593,0.05,0.17,0.24,0.042,0.55,0.21,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3596,0.08,0.27,0.07,0.018,0.42,0.14,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3600,0.1,0.27,0.54,0.027,0.14,0.18,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3607,NA,0.18,0.41,0.19,2.13,0.47,0.36,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3608,NA,0.33,0.97,0.19,1.3,0.73,0.62,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 3623,NA,0.35,0.81,0.3,3.23,1.06,1.11,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
